Conversation Number,Conversation
12318,"Thank you for agreeing to come in and meet with us today . -- Thank you for inviting me . -- I can see from your resume you were in charge of sales for Corporate World Unlimited from 1997 to 1999 . Can you please tell me about your responsibilities ? -- Yes . I was in charge of profit and loss for the northwest region of Canada . As a manager , I was directly responsible for a 50 % increase in sales over a four-month period . -- What , do you believe , are some of the key attributes that helped you to achieve such an outstanding increase in sales ? -- I believe persistence and perseverance are key attributes . --"
12319,"I can ’ t attend the meeting in Washington . I ’ Ve proposed you as the most able substitute . -- But I ’ Ve never been on a business trip before ! -- It ’ s easy enough . Just make sure you keep track of all your expenses . The accounting department will reimburse you for all your meals and travel expenses . -- So the company will pay for everything ? -- Yes , but when you send in your expense report , you also have to file a report summarizing your trip . It ’ s not just a big vacation , you know . -- That sounds good . But what do you want me to do there ? -- I ’ Ve already paved the way . You just have to give a presentation on what our products are . I will do the follow-up and close the sale . --"
12320,"Comfort Inn , may I help you ? -- I ’ m looking for a hotel near the convention center . -- You ’ re in luck ! We ’ re just a two-minute drive from there . Would you like to make a reservation ? -- Not just yet . I have one or two questions . How much for a single ? -- During the peak season , a single room goes for 50 dollars on a night . But we ’ Ve got a Single Super Saver Special going on right now – only $ 30 a night . And we ’ Ve also extended our checkout time 00 in -- That ’ s a good deal . Since this is a working trip , I wonder if you have meeting rooms where I can get together with some clients . -- Yes , we have five meeting rooms , of various sizes . We can accommodate large meetings and small , informal gatherings as well . Of course , if you have many small meeting , you might consider checking -- That sounds great . Do you accept checks ? -- I ’ m sorry , sir , we don ’ t . But we do accept all major credit cards . --"
12321,"Looking through your C . V . , I see that you graduated from Oklahoma State University . Can you tell me what training you have had that would specifically relate to the cable television Industry ? -- Well , I ’ Ve attended some conferences in this field . But the most relevant training I ’ Ve had was in computer design . I believe I could integrate that knowledge with my college degree to design -- I see . Did you have anything specific in mind ? -- Well , I notice that you currently provide an on-screen TV Guide . At the moment , it just scrolls the names of the programs in a repeated loop . If you have many channels , you have to wait a long t -- That ’ s impressive . How would you make that pay ? -- Tie it in with the pay-per-view services , and perhaps it could be a money-maker . -- I see you have several good ideas . Now , I just have a few questions about your C . V . I notice that there is a five-year gap between your last job and now . -- Yes , I took a break from work during that time . I had a baby , and as she was born with a handicap , I decided to suspend my career . But I have continued to keep up with the Industry through con -- So , you ’ re just starting back . Maybe you ’ d better tell me a little more about your experience . --"
12322,"Did you pack this bag yourself ? Has it been out of your possession at any time before checking-in ? -- Yes , I packed it myself , and it hasn ’ t been out of my possession . -- Are you bringing in any plants or animal products ? -- No . -- Our sniffer dog seems to disagree . Do you mind if we look in your suitcase ? -- Not at all . Go right ahead . -- What ’ s this sir ? -- It ’ s traditional Chinese Medicine . I mix it with hot water like tea . Sorry . I forgot about it . -- What are these red things sir ? -- Oh no ! I forgot about those too ! Those are Chinese sausages for my Aunt Lily . -- I ’ m sorry sir , but you can ’ t take any of this into the country . We will also have to check your carry-on . Please step this way . Don ’ t ’ be nervous ; we ’ ll just look through it briefly and then --"
12323,"Can you tell me a little bit about yourself ? -- I am a graduate of a technical university and have been employed as a technician with Company or approximately 10 years . -- Please explain why you are interested in leaving your current position and please elaborate on your technical skills . -- I am looking for a growth opportunity , which I feel is not available at my current employer . In terms of skills , I am Microsoft certified in Windows XP and several other operating system -- Where do you see yourself five years from now ? -- I see myself in a management position . --"
12324,"Good evening , sir . Welcome to the Comfort Inn . -- Hello . I have a reservation , under the name Lee , Leo Lee . -- Mmmm . I ’ m not sure if we have you down here . How do you spell your last name ? -- It ’ s L-e-e . -- Oh , right . You ’ re in our system . I was just looking under Li . So , we ’ Ve got you down for a Business Suite for three days . If I could just have your credit card , I ’ ll process your check-in while -- You mean I have to pay now ? -- Oh no , we just make an impression of your card using our credit card machine . It ’ s in lieu of a deposit . If everything is OK when you check out , we give it back to you then . It ’ s pretty sta -- I see . I guess you can tell I don ’ t travel much . -- ( later ) Here ’ s your card , sir . You ’ re all checked in . let me just tell you about a few of our services . We have free breakfast in the lounge from 7:00- 9:00 . You call the receptionist to arrange --"
12325,"Good evening , Mr . Lee and thank you for choosing our airline . We have just discovered that this flight is overbooked . Would you like to volunteer to give up your seat ? -- Overbooked ? Give up my seat ? I don ’ t understand . -- From time to time we have a situation in which there are more passengers than there are seats on the aircraft . That ’ s overbooked . -- I know what overbooked is , I just don ’ t understand how that could happen ? -- Actually it ’ s a common practice to overbook , as passengers often don ’ t take their flight as scheduled . Most of the time there is no problem but today , more passengers arrived than we have seats , -- So who has to stay behind ? -- Well , first we ask for volunteers . If someone like yourself volunteers , they receive a free round trip ticket to be used within one year . If no one volunteers we just have to select someone . -- Ok . I ’ ll volunteer . I could use a free ticket ! --"
12326,"I ’ m ready to settle the bill . -- I hope you enjoyed your stay . -- Definitely ! Very relaxing . -- Good . Right , that comes to $ 1,500 . -- What ? I only stayed three nights . -- That ’ s right , sir . Three nights at 500 dollars a night ... that comes to $ 1,500 . -- But your brochure said that this was a package deal and the hotel ’ s services were all-inclusive . -- Yes , of course . The meals and excursions were included in the hotel price . -- But why are you overcharging me almost a thousand dollars ? 250 dollars a night , times three nights should just be $ 750 . -- I ’ m sorry sir . The 250 - dollar rate is based on double occupancy . That means it ’ s 250 per person . The room itself is 500 dollars a night . -- Perhaps I could talk to your manager ? -- Of course . Just a minute ; I ’ ll get her . --"
12327,"Mr . Lee , all ready to check out ? We ’ Ve already prepared your bill , and housekeeping has done a quick check of the room . How will you be paying ? -- I ’ d like to use my Master Card , if I could . Hey , wait a minute ! This is a bit more than I expected . Why is it so high ? -- The bill is itemized , so take some time to look through it and make sure we ’ Ve charged you for the correct services . Most of your extra charges were for phone calls and room service . -- What ’ s this here – “ house stock ” ? -- That ’ s the mini-bar . Each day we check what ’ s missing and restock it . The items you consume are put on your bill . -- I had no idea – and look at these charges for movies ! -- Those are for pay-per-view movies . Each time you selected a movie , the entertainment system prompted you to confirm that you really wanted it , right ? -- Yes , that ’ s right . But I had no idea I would be charged for all this . Thank goodness my company will let me reimburse all this . --"
